supermarket,no_of_items,variation,total,paid,change,type,food,snack,beverage,consumables,high_end,asset,fixed_asset,date,mall,time,time_type,type_market,location,loc_category,day,day_type,24hr,day,month,year
tumaini,2,2,137,500,363,cash,yes,no,no,yes,no,no,no,22/08/2017,no,15:04,evening,chain,ongata rongai,mid,Tuesday,weekday,no,22,8,2017
tumaini,2,1,173,500,327,cash,no,yes,no,no,no,no,no,22/08/2017,no,14:37,evening,chain,ongata rongai,mid,Tuesday,weekday,no,22,8,2017
tumaini,1,1,55,500,445,cash,no,no,yes,no,no,no,no,22/08/2017,no,14:32,evening,chain,ongata rongai,mid,Tuesday,weekday,no,22,8,2017
tumaini,2,1,129,1000,891,cash,yes,no,no,no,no,no,no,22/08/2017,no,13:44,afternoon,chain,ongata rongai,mid,Tuesday,weekday,no,22,8,2017
tumaini,1,1,282,500,218,cash,yes,no,no,no,no,no,no,22/08/2017,no,16:41,evening,chain,ongata rongai,mid,Tuesday,weekday,no,22,8,2017
tumaini,1,1,76,500,424,cash,yes,no,no,no,no,no,no,22/08/2017,no,14:34,afternoon,chain,ongata rongai,mid,Tuesday,weekday,no,22,8,2017
tumaini,3,2,225,1000,775,cash,yes,yes,no,no,no,no,no,22/08/2017,no,14:59,afternoon,chain,ongata rongai,mid,Tuesday,weekday,no,22,8,2017
tumaini,2,2,117,1007,890,cash,yes,no,yes,no,no,no,no,22/08/2017,no,15:01,afternoon,chain,ongata rongai,mid,Tuesday,weekday,no,22,8,2017
tumaini,1,1,470,500,30,cash,yes,no,no,no,no,no,no,22/08/2017,no,14:33,afternoon,chain,ongata rongai,mid,Tuesday,weekday,no,22,8,2017
tumaini,2,2,129,500,371,cash,yes,no,no,yes,no,no,no,22/08/2017,no,17:33,evening,chain,ongata rongai,mid,Tuesday,weekday,no,22,8,2017
tumaini,5,2,692,692,0,mpesa,yes,yes,no,no,no,no,no,22/08/2017,no,17:18,evening,chain,ongata rongai,mid,Tuesday,weekday,no,22,8,2017
tumaini,1,1,40,100,60,cash,no,no,yes,no,no,no,no,22/08/2017,no,17:14,evening,chain,ongata rongai,mid,Tuesday,weekday,no,22,8,2017
tumaini,4,1,275,275,0,mpesa,no,yes,no,no,no,no,no,22/08/2017,no,17:29,evening,chain,ongata rongai,mid,Tuesday,weekday,no,22,8,2017
tumaini,4,1,840,1000,160,cash,no,no,no,yes,no,no,no,22/08/2017,no,17:27,evening,chain,ongata rongai,mid,Tuesday,weekday,no,22,8,2017
tumaini,1,1,182,200,18,cash,yes,no,no,no,no,no,no,22/08/2017,no,17:15,evening,chain,ongata rongai,mid,Tuesday,weekday,no,22,8,2017
tumaini,1,1,50,200,150,cash,yes,no,no,no,no,no,no,22/08/2017,no,17:09,evening,chain,ongata rongai,mid,Tuesday,weekday,no,22,8,2017
tumaini,1,1,67,67,0,cash,yes,no,no,no,no,no,no,22/08/2017,no,17:48,evening,chain,ongata rongai,mid,Tuesday,weekday,no,22,8,2017
tumaini,1,1,50,50,0,cash,yes,no,no,no,no,no,no,22/08/2017,no,17:09,evening,chain,ongata rongai,mid,Tuesday,weekday,no,22,8,2017
tumaini,1,1,30,50,20,cash,no,no,no,no,no,yes,no,22/08/2017,no,17:08,evening,chain,ongata rongai,mid,Tuesday,weekday,no,22,8,2017
tumaini,2,2,164,164,0,cash,no,yes,yes,no,no,no,no,22/08/2017,no,17:00,evening,chain,ongata rongai,mid,Tuesday,weekday,no,22,8,2017
tumaini,1,1,1,1,0,cash,no,yes,no,no,no,no,no,22/08/2017,no,17:40,evening,chain,ongata rongai,mid,Tuesday,weekday,no,22,8,2017
tumaini,1,1,340,340,0,cash,yes,no,no,no,no,no,no,22/08/2017,no,17:50,evening,chain,ongata rongai,mid,Tuesday,weekday,no,22,8,2017
tumaini,1,1,450,450,0,mpesa,no,no,no,yes,no,no,no,22/08/2017,no,17:47,evening,chain,ongata rongai,mid,Tuesday,weekday,no,22,8,2017
tumaini,1,1,170,170,0,mpesa,yes,no,no,no,no,no,no,22/08/2017,no,15:30,afternoon,chain,ongata rongai,mid,Tuesday,weekday,no,22,8,2017
tumaini,2,2,115,1000,885,cash,no,yes,yes,no,no,no,no,22/08/2017,no,15:39,afternoon,chain,ongata rongai,mid,Tuesday,weekday,no,22,8,2017
tumaini,4,2,283,400,117,cash,yes,no,no,yes,no,no,no,22/08/2017,no,15:36,afternoon,chain,ongata rongai,mid,Tuesday,weekday,no,22,8,2017
tumaini,1,1,30,200,170,cash,no,yes,no,no,no,no,no,22/08/2017,no,15:38,afternoon,chain,ongata rongai,mid,Tuesday,weekday,no,22,8,2017
tumaini,2,1,220,250,30,cash,no,no,yes,no,no,no,no,22/08/2017,no,14:49,afternoon,chain,ongata rongai,mid,Tuesday,weekday,no,22,8,2017
tumaini,1,1,85,500,415,cash,no,no,no,yes,no,no,no,22/08/2017,no,14:49,afternoon,chain,ongata rongai,mid,Tuesday,weekday,no,22,8,2017
tumaini,1,1,76,500,424,cash,yes,no,no,no,no,no,no,22/08/2017,no,14:46,afternoon,chain,ongata rongai,mid,Tuesday,weekday,no,22,8,2017
tumaini,1,1,110,500,390,cash,no,no,yes,no,no,no,no,22/08/2017,no,14:47,afternoon,chain,ongata rongai,mid,Tuesday,weekday,no,22,8,2017
tumaini,6,3,557,1000,443,cash,yes,no,yes,yes,no,no,no,22/08/2017,no,14:51,afternoon,chain,ongata rongai,mid,Tuesday,weekday,no,22,8,2017
tumaini,1,1,180,200,20,cash,yes,no,no,no,no,no,no,22/08/2017,no,15:15,afternoon,chain,ongata rongai,mid,Tuesday,weekday,no,22,8,2017
tumaini,1,1,67,100,33,cash,yes,no,no,no,no,no,no,22/08/2017,no,12:43,afternoon,chain,ongata rongai,mid,Tuesday,weekday,no,22,8,2017
tumaini,12,3,1876,2000,124,cash,yes,yes,yes,no,no,no,no,22/08/2017,no,17:11,evening,chain,ongata rongai,mid,Tuesday,weekday,no,22,8,2017
cleanshelf,1,1,96,100,4,cash,yes,no,no,no,no,no,no,22/08/2017,no,17:03,evening,chain,ongata rongai,mid,Tuesday,weekday,no,22,8,2017
cleanshelf,3,2,547,1000,453,cash,yes,no,no,yes,no,no,no,22/08/2017,no,16:18,evening,chain,ongata rongai,mid,Tuesday,weekday,no,22,8,2017
cleanshelf,2,2,144,200,56,cash,yes,no,yes,no,no,no,no,22/08/2017,no,16:53,evening,chain,ongata rongai,mid,Tuesday,weekday,no,22,8,2017
cleanshelf,1,1,90,100,10,cash,yes,no,no,no,no,no,no,22/08/2017,no,16:57,evening,chain,ongata rongai,mid,Tuesday,weekday,no,22,8,2017
cleanshelf,1,1,65,1000,935,cash,no,no,yes,no,no,no,no,22/08/2017,no,15:15,afternoon,chain,ongata rongai,mid,Tuesday,weekday,no,22,8,2017
cleanshelf,1,1,100,100,0,cash,yes,no,no,no,no,no,no,21/08/2017,no,22:19,night,chain,ongata rongai,mid,Monday,weekday,no,21,8,2017
cleanshelf,8,2,612,1000,388,cash,yes,no,yes,no,no,no,no,22/08/2017,no,16:44,evening,chain,ongata rongai,mid,Tuesday,weekday,no,22,8,2017
cleanshelf,2,1,143,200,57,cash,yes,no,no,no,no,no,no,22/08/2017,no,16:46,evening,chain,ongata rongai,mid,Tuesday,weekday,no,22,8,2017
cleanshelf,2,2,430,1000,570,cash,yes,no,no,yes,no,no,no,22/08/2017,no,16:53,evening,chain,ongata rongai,mid,Tuesday,weekday,no,22,8,2017
cleanshelf,1,1,170,200,30,cash,no,no,no,yes,no,no,no,22/08/2017,no,17:05,evening,chain,ongata rongai,mid,Tuesday,weekday,no,22,8,2017
cleanshelf,1,1,40,50,10,cash,no,yes,no,no,no,no,no,22/08/2017,no,16:36,evening,chain,ongata rongai,mid,Tuesday,weekday,no,22,8,2017
cleanshelf,1,1,100,200,100,cash,yes,no,no,no,no,no,no,22/08/2017,no,17:02,evening,chain,ongata rongai,mid,Tuesday,weekday,no,22,8,2017
cleanshelf,2,1,245,1000,755,cash,yes,no,no,no,no,no,no,22/08/2017,no,16:33,evening,chain,ongata rongai,mid,Tuesday,weekday,no,22,8,2017
cleanshelf,1,1,45,500,455,cash,yes,no,no,no,no,no,no,22/08/2017,no,16:58,evening,chain,ongata rongai,mid,Tuesday,weekday,no,22,8,2017
cleanshelf,5,3,283,500,217,cash,yes,no,yes,yes,no,no,no,22/08/2017,no,17:01,evening,chain,ongata rongai,mid,Tuesday,weekday,no,22,8,2017
cleanshelf,4,2,474,1000,526,cash,yes,no,yes,no,no,no,no,22/08/2017,no,17:10,evening,chain,ongata rongai,mid,Tuesday,weekday,no,22,8,2017
cleanshelf,1,1,60,1000,940,cash,no,no,yes,no,no,no,no,22/08/2017,no,17:10,evening,chain,ongata rongai,mid,Tuesday,weekday,no,22,8,2017
cleanshelf,2,2,265,265,0,redeemed points,yes,no,yes,no,no,no,no,22/08/2017,no,13:21,afternoon,chain,ongata rongai,mid,Tuesday,weekday,no,22,8,2017
cleanshelf,7,2,845,845,0,cash,yes,no,no,yes,no,no,no,22/08/2017,no,14:11,afternoon,chain,ongata rongai,mid,Tuesday,weekday,no,22,8,2017
cleanshelf,6,2,566,1000,434,cash,yes,no,yes,no,no,no,no,22/08/2017,no,15:38,afternoon,chain,ongata rongai,mid,Tuesday,weekday,no,22,8,2017
cleanshelf,1,1,51,51,0,cash,yes,no,no,no,no,no,no,22/08/2017,no,14:44,afternoon,chain,ongata rongai,mid,Tuesday,weekday,no,22,8,2017
cleanshelf,1,1,200,200,0,cash,yes,no,no,no,no,no,no,22/08/2017,no,16:59,evening,chain,ongata rongai,mid,Tuesday,weekday,no,22,8,2017
cleanshelf,5,2,635,1000,365,cash,yes,no,no,yes,no,no,no,22/08/2017,no,12:52,afternoon,chain,ongata rongai,mid,Tuesday,weekday,no,22,8,2017
cleanshelf,1,1,90,100,10,cash,yes,no,no,no,no,no,no,22/08/2017,no,16:46,evening,chain,ongata rongai,mid,Tuesday,weekday,no,22,8,2017
cleanshelf,1,1,205,220,15,cash,no,no,no,no,no,yes,no,22/08/2017,no,16:40,evening,chain,ongata rongai,mid,Tuesday,weekday,no,22,8,2017
cleanshelf,2,1,159,200,41,cash,yes,no,no,no,no,no,no,22/08/2017,no,16:57,evening,chain,ongata rongai,mid,Tuesday,weekday,no,22,8,2017
cleanshelf,1,1,90,100,10,cash,yes,no,no,no,no,no,no,22/08/2017,no,16:46,evening,chain,ongata rongai,mid,Tuesday,weekday,no,22,8,2017
cleanshelf,1,1,55,60,5,cash,no,no,yes,no,no,no,no,22/08/2017,no,16:32,evening,chain,ongata rongai,mid,Tuesday,weekday,no,22,8,2017
cleanshelf,2,1,140,200,60,cash,yes,no,no,no,no,no,no,22/08/2017,no,15:49,afternoon,chain,ongata rongai,mid,Tuesday,weekday,no,22,8,2017
cleanshelf,2,1,85,85,0,cash,no,no,yes,no,no,no,no,22/08/2017,no,15:03,afternoon,chain,ongata rongai,mid,Tuesday,weekday,no,22,8,2017
cleanshelf,2,2,150,200,50,cash,yes,no,yes,no,no,no,no,22/08/2017,no,12:38,afternoon,chain,ongata rongai,mid,Tuesday,weekday,no,22,8,2017
cleanshelf,1,1,65,65,0,cash,yes,no,no,no,no,no,no,22/08/2017,no,16:49,evening,chain,ongata rongai,mid,Tuesday,weekday,no,22,8,2017
cleanshelf,3,2,455,500,45,cash,yes,yes,no,no,no,no,no,22/08/2017,no,16:54,evening,chain,ongata rongai,mid,Tuesday,weekday,no,22,8,2017
cleanshelf,2,2,265,265,0,redeemed points,yes,no,yes,no,no,no,no,22/08/2017,no,13:21,afternoon,chain,ongata rongai,mid,Tuesday,weekday,no,22,8,2017
cleanshelf,1,1,52,60,8,cash,yes,no,no,no,no,no,no,22/08/2017,no,13:28,afternoon,chain,ongata rongai,mid,Tuesday,weekday,no,22,8,2017
cleanshelf,1,1,100,100,0,cash,yes,no,no,no,no,no,no,22/08/2017,no,15:05,afternoon,chain,ongata rongai,mid,Tuesday,weekday,no,22,8,2017
cleanshelf,6,2,515,515,0,card,no,no,yes,no,no,yes,no,22/08/2017,no,15:28,afternoon,chain,ongata rongai,mid,Tuesday,weekday,no,22,8,2017
cleanshelf,1,1,200,200,0,cash,yes,no,no,no,no,no,no,22/08/2017,no,15:15,afternoon,chain,ongata rongai,mid,Tuesday,weekday,no,22,8,2017
cleanshelf,1,1,80,100,20,cash,yes,no,no,no,no,no,no,22/08/2017,no,14:44,afternoon,chain,ongata rongai,mid,Tuesday,weekday,no,22,8,2017
cleanshelf,1,1,70,1000,930,cash,yes,no,no,no,no,no,no,22/08/2017,no,14:05,afternoon,chain,ongata rongai,mid,Tuesday,weekday,no,22,8,2017
cleanshelf,1,1,99,100,1,cash,yes,no,no,no,no,no,no,22/08/2017,no,16:02,evening,chain,ongata rongai,mid,Tuesday,weekday,no,22,8,2017
cleanshelf,1,1,80,100,20,cash,no,yes,no,no,no,no,no,22/08/2017,no,14:37,afternoon,chain,ongata rongai,mid,Tuesday,weekday,no,22,8,2017
cleanshelf,1,1,40,40,0,cash,no,yes,no,no,no,no,no,22/08/2017,no,14:14,afternoon,chain,ongata rongai,mid,Tuesday,weekday,no,22,8,2017
cleanshelf,1,1,50,50,0,cash,no,yes,no,no,no,no,no,22/08/2017,no,15:30,afternoon,chain,ongata rongai,mid,Tuesday,weekday,no,22,8,2017
cleanshelf,1,1,40,40,0,cash,no,yes,no,no,no,no,no,22/08/2017,no,14:47,afternoon,chain,ongata rongai,mid,Tuesday,weekday,no,22,8,2017
cleanshelf,1,1,70,70,0,cash,yes,no,no,no,no,no,no,22/08/2017,no,13:29,afternoon,chain,ongata rongai,mid,Tuesday,weekday,no,22,8,2017
cleanshelf,1,1,88,500,412,cash,yes,no,no,no,no,no,no,22/08/2017,no,16:24,evening,chain,ongata rongai,mid,Tuesday,weekday,no,22,8,2017
cleanshelf,9,1,1075,1100,25,cash,yes,no,no,no,no,no,no,22/08/2017,no,14:36,afternoon,chain,ongata rongai,mid,Tuesday,weekday,no,22,8,2017
cleanshelf,2,2,145,1000,855,cash,no,yes,yes,no,no,no,no,22/08/2017,no,12:20,afternoon,chain,ongata rongai,mid,Tuesday,weekday,no,22,8,2017
cleanshelf,2,2,145,1000,855,cash,no,yes,yes,no,no,no,no,22/08/2017,no,12:20,afternoon,chain,ongata rongai,mid,Tuesday,weekday,no,22,8,2017
cleanshelf,2,1,120,120,0,cash,yes,no,no,no,no,no,no,22/08/2017,no,13:01,afternoon,chain,ongata rongai,mid,Tuesday,weekday,no,22,8,2017
cleanshelf,1,1,25,55,30,cash,no,no,yes,no,no,no,no,22/08/2017,no,12:34,afternoon,chain,ongata rongai,mid,Tuesday,weekday,no,22,8,2017
tumaini,1,1,147,200,53,cash,yes,no,no,no,no,no,no,26/08/2017,no,14:06,afternoon,chain,ongata rongai,mid,saturday,weekend,no,26,8,2017
tumaini,2,1,122,150,28,cash,no,no,no,yes,no,no,no,26/08/2017,no,18:00,evening,chain,ongata rongai,mid,saturday,weekend,no,26,8,2017
tumaini,1,1,200,200,0,cash,yes,no,no,no,no,no,no,26/08/2017,no,13:12,afternoon,chain,ongata rongai,mid,saturday,weekend,no,26,8,2017
tumaini,4,2,347,1000,653,cash,yes,no,yes,no,no,no,no,26/08/2017,no,15:41,afternoon,chain,ongata rongai,mid,saturday,weekend,no,26,8,2017
tumaini,2,1,100,200,100,cash,no,no,no,yes,no,no,no,26/08/2017,no,17:13,evening,chain,ongata rongai,mid,saturday,weekend,no,26,8,2017
tumaini,1,1,79,500,421,cash,no,no,yes,no,no,no,no,26/08/2017,no,14:31,afternoon,chain,ongata rongai,mid,saturday,weekend,no,26,8,2017
tumaini,2,1,273,273,0,mpesa,yes,no,no,no,no,no,no,26/08/2017,no,14:30,afternoon,chain,ongata rongai,mid,saturday,weekend,no,26,8,2017
tumaini,2,1,335,400,65,cash,no,no,no,yes,no,no,no,26/08/2017,no,17:59,evening,chain,ongata rongai,mid,saturday,weekend,no,26,8,2017
tumaini,1,1,230,300,70,cash,no,no,no,yes,no,no,no,26/08/2017,no,17:15,evening,chain,ongata rongai,mid,saturday,weekend,no,26,8,2017
tumaini,4,2,454,500,46,cash,yes,no,no,yes,no,no,no,26/08/2017,no,16:26,evening,chain,ongata rongai,mid,saturday,weekend,no,26,8,2017
tumaini,2,1,101,101,0,cash,yes,no,no,no,no,no,no,26/08/2017,no,14:31,afternoon,chain,ongata rongai,mid,saturday,weekend,no,26,8,2017
tumaini,4,2,195,200,5,cash,no,yes,yes,no,no,no,no,26/08/2017,no,17:49,evening,chain,ongata rongai,mid,saturday,weekday,no,26,8,2017
tumaini,4,2,403,500,97,cash,yes,no,no,yes,no,no,no,26/08/2017,no,16:28,evening,chain,ongata rongai,mid,saturday,weekend,no,26,8,2017
tumaini,1,1,60,100,40,cash,yes,no,no,no,no,no,no,26/08/2017,no,16:44,evening,chain,ongata rongai,mid,saturday,weekend,no,26,8,2017
tumaini,1,1,99,99,0,cash,no,no,yes,no,no,no,no,26/08/2017,no,14:11,afternoon,chain,ongata rongai,mid,saturday,weekend,no,26,8,2017
tumaini,1,1,50,50,0,cash,no,no,yes,no,no,no,no,26/08/2017,no,11:12,morning,chain,ongata rongai,mid,saturday,weekend,no,26,8,2017
tumaini,2,1,71,500,429,cash,yes,yes,no,no,no,no,no,26/08/2017,no,12:01,afternoon,chain,ongata rongai,mid,saturday,weekend,no,26,8,2017
tumaini,2,2,115,115,0,cash,yes,no,yes,no,no,no,no,26/08/2017,no,11:18,morning,chain,ongata rongai,mid,saturday,weekend,no,26,8,2017
tumaini,3,3,280,400,120,cash,yes,yes,yes,no,no,no,no,26/08/2017,no,16:31,evening,chain,ongata rongai,mid,saturday,weekend,no,26,8,2017
tumaini,2,1,260,500,240,cash,yes,no,no,no,no,no,no,26/08/2017,no,16:59,evening,chain,ongata rongai,mid,saturday,weekend,no,26,8,2017
tumaini,1,1,270,1000,730,cash,yes,no,no,no,no,no,no,26/08/2017,no,12:33,afternoon,chain,ongata rongai,mid,saturday,weekend,no,26,8,2017
tumaini,3,2,110,110,0,mpesa,yes,yes,no,no,no,no,no,26/08/2017,no,13:36,afternoon,chain,ongata rongai,mid,saturday,weekend,no,26,8,2017
tumaini,2,2,110,110,0,cash,no,no,yes,no,no,yes,no,26/08/2017,no,14:36,afternoon,chain,ongata rongai,mid,saturday,weekend,no,26,8,2017
tumaini,1,1,55,100,45,cash,no,no,yes,no,no,no,no,26/08/2017,no,15:13,afternoon,chain,ongata rongai,mid,saturday,weekend,no,26,8,2017
tumaini,1,1,94,100,6,cash,yes,no,no,no,no,no,no,26/08/2017,no,18:24,evening,chain,ongata rongai,mid,saturday,weekend,no,26,8,2017
tumaini,1,1,100,100,0,cash,yes,no,no,no,no,no,no,26/08/2017,no,17:44,evening,chain,ongata rongai,mid,saturday,weekend,no,26,8,2017
tumaini,5,2,823,823,0,mpesa,yes,no,no,yes,no,no,no,26/08/2017,no,17:35,evening,chain,ongata rongai,mid,saturday,weekend,no,26,8,2017
tumaini,2,2,119,1000,881,cash,yes,no,no,no,no,yes,no,26/08/2017,no,14:49,afternoon,chain,ongata rongai,mid,saturday,weekend,no,26,8,2017
tumaini,16,5,2304,3000,696,mpesa,yes,yes,yes,yes,no,yes,no,26/08/2017,no,15:38,afternoon,chain,ongata rongai,mid,saturday,weekend,no,26,8,2017
tumaini,7,2,522,1000,478,cash,yes,no,yes,no,no,no,no,26/08/2017,no,16:14,evening,chain,ongata rongai,mid,saturday,weekend,no,26,8,2017
tumaini,5,2,785,1000,215,cash,yes,no,no,yes,no,no,no,26/08/2017,no,16:54,evening,chain,ongata rongai,mid,saturday,weekend,no,26,8,2017
tumaini,2,1,170,500,330,cash,no,no,yes,no,no,no,no,26/08/2017,no,17:15,evening,chain,ongata rongai,mid,saturday,weekend,no,26,8,2017
tumaini,2,2,92,200,108,cash,no,yes,yes,no,no,no,no,26/08/2017,no,17:02,evening,chain,ongata rongai,mid,saturday,weekend,no,26,8,2017
tumaini,4,3,355,1000,645,cash,yes,yes,yes,no,no,no,no,26/08/2017,no,17:08,evening,chain,ongata rongai,mid,saturday,weekend,no,26,8,2017
tumaini,4,2,718,718,0,mpesa,yes,no,yes,no,no,no,no,26/08/2017,no,15:58,afternoon,chain,ongata rongai,mid,saturday,weekend,no,26,8,2017
tumaini,7,4,618,1000,382,cash,yes,yes,yes,yes,no,no,no,26/08/2017,no,15:59,afternoon,chain,ongata rongai,mid,saturday,weekend,no,26,8,2017
tumaini,6,2,278,1000,722,cash,yes,yes,no,no,no,no,no,26/08/2017,no,14:42,afternoon,chain,ongata rongai,mid,saturday,weekend,no,26,8,2017
tumaini,2,1,154,154,0,mpesa,no,no,yes,no,no,no,no,26/08/2017,no,16:29,evening,chain,ongata rongai,mid,saturday,weekend,no,26,8,2017
tumaini,4,2,1119,1119,0,mpesa,yes,no,no,yes,no,no,no,25/08/2017,no,20:47,night,chain,ongata rongai,mid,Friday,weekday,no,25,8,2017
tumaini,4,3,342,1000,658,cash,yes,yes,yes,no,no,no,no,26/08/2017,no,17:23,evening,chain,ongata rongai,mid,saturday,weekend,no,26,8,2017
tumaini,3,2,201,201,0,cash,no,yes,yes,no,no,no,no,26/08/2017,no,15:20,afternoon,chain,ongata rongai,mid,saturday,weekend,no,26,8,2017
tumaini,1,1,55,55,0,cash,no,no,yes,no,no,no,no,26/08/2017,no,15:10,afternoon,chain,ongata rongai,mid,saturday,weekend,no,26,8,2017
tumaini,1,1,180,1000,820,cash,yes,no,no,no,no,no,no,26/08/2017,no,14:36,afternoon,chain,ongata rongai,mid,saturday,weekend,no,26,8,2017
tumaini,3,2,245,500,255,cash,yes,yes,no,no,no,no,no,26/08/2017,no,15:55,afternoon,chain,ongata rongai,mid,saturday,weekend,no,26,8,2017
tumaini,2,1,140,140,0,cash,no,yes,no,no,no,no,no,26/08/2017,no,15:43,afternoon,chain,ongata rongai,mid,saturday,weekend,no,26,8,2017
tumaini,2,1,100,100,0,cash,yes,no,no,no,no,no,no,26/08/2017,no,17:40,afternoon,chain,ongata rongai,mid,saturday,weekend,no,26,8,2017
tumaini,1,1,104,200,96,cash,yes,no,no,no,no,no,no,26/08/2017,no,12:46,afternoon,chain,ongata rongai,mid,saturday,weekend,no,26,8,2017
tumaini,4,3,680,680,0,cash,no,no,yes,yes,yes,no,no,26/08/2017,no,17:05,evening,chain,ongata rongai,mid,saturday,weekend,no,26,8,2017
tumaini,3,2,205,1000,795,cash,yes,no,yes,no,no,no,no,26/08/2017,no,18:33,evening,chain,ongata rongai,mid,saturday,weekend,no,26,8,2017
tumaini,2,2,105,110,5,cash,no,no,yes,no,no,yes,no,26/08/2017,no,18:20,evening,chain,ongata rongai,mid,saturday,weekend,no,26,8,2017
tumaini,4,2,243,500,257,cash,no,yes,yes,no,no,no,no,26/08/2017,no,13:46,evening,chain,ongata rongai,mid,saturday,weekend,no,26,8,2017
tumaini,2,2,94,100,6,cash,yes,no,no,yes,no,no,no,26/08/2017,no,18:32,evening,chain,ongata rongai,mid,saturday,weekend,no,26,8,2017
tumaini,6,2,508,510,2,cash,yes,no,no,yes,no,no,no,26/08/2017,no,18:34,evening,chain,ongata rongai,mid,saturday,weekend,no,26,8,2017
tumaini,1,1,67,1000,933,cash,yes,no,no,no,no,no,no,26/08/2017,no,18:13,evening,chain,ongata rongai,mid,saturday,weekend,no,26,8,2017
tumaini,2,1,115,115,0,cash,yes,no,no,no,no,no,no,26/08/2017,no,17:09,evening,chain,ongata rongai,mid,saturday,weekend,no,26,8,2017
tumaini,4,3,312,1000,688,cash,yes,yes,yes,no,no,no,no,26/08/2017,no,17:10,evening,chain,ongata rongai,mid,saturday,weekend,no,26,8,2017
tumaini,1,1,300,300,0,cash,yes,no,no,no,no,no,no,26/08/2017,no,15:27,afternoon,chain,ongata rongai,mid,saturday,weekend,no,26,8,2017
tumaini,2,1,130,130,0,cash,yes,no,no,no,no,no,no,26/08/2017,no,13:42,afternoon,chain,ongata rongai,mid,saturday,weekend,no,26,8,2017
tumaini,2,1,317,357,40,cash,yes,no,no,no,no,no,no,26/08/2017,no,16:19,evening,chain,ongata rongai,mid,saturday,weekend,no,26,8,2017
tumaini,1,1,105,110,5,cash,no,yes,no,no,no,no,no,26/08/2017,no,15:45,afternoon,chain,ongata rongai,mid,saturday,weekend,no,26,8,2017
tumaini,1,1,99,100,1,cash,no,no,yes,no,no,no,no,26/08/2017,no,15:40,afternoon,chain,ongata rongai,mid,saturday,weekend,no,26,8,2017
tumaini,2,2,76,200,124,cash,no,yes,yes,no,no,no,no,26/08/2017,no,17:10,evening,chain,ongata rongai,mid,saturday,weekend,no,26,8,2017
tumaini,4,2,626,626,0,mpesa,yes,yes,no,no,no,no,no,26/08/2017,no,17:27,evening,chain,ongata rongai,mid,saturday,weekend,no,26,8,2017
tumaini,2,1,136,150,14,cash,yes,no,no,no,no,no,no,26/08/2017,no,16:17,evening,chain,ongata rongai,mid,saturday,weekend,no,26,8,2017
tumaini,3,1,60,60,0,cash,no,yes,no,no,no,no,no,26/08/2017,no,12:57,afternoon,chain,ongata rongai,mid,saturday,weekend,no,26,8,2017
tumaini,1,1,95,100,5,cash,no,no,yes,no,no,no,no,26/08/2017,no,15:44,afternoon,chain,ongata rongai,mid,saturday,weekend,no,26,8,2017
tumaini,4,2,682,1000,318,cash,yes,yes,no,no,no,no,no,26/08/2017,no,15:12,afternoon,chain,ongata rongai,mid,saturday,weekend,no,26,8,2017
tumaini,1,1,100,100,0,mpesa,yes,no,no,no,no,no,no,26/08/2017,no,09:23,morning,chain,ongata rongai,mid,saturday,weekend,no,26,8,2017
tumaini,3,2,375,500,125,cash,yes,no,yes,no,no,no,no,26/08/2017,no,17:54,evening,chain,ongata rongai,mid,saturday,weekend,no,26,8,2017
tumaini,1,1,55,55,0,cash,no,no,yes,no,no,no,no,26/08/2017,no,16:37,evening,chain,ongata rongai,mid,saturday,weekend,no,26,8,2017
tumaini,2,1,157,200,43,cash,yes,no,no,no,no,no,no,26/08/2017,no,16:33,evening,chain,ongata rongai,mid,saturday,weekend,no,26,8,2017
tumaini,3,1,185,200,15,cash,yes,no,no,no,no,no,no,26/08/2017,no,16:43,evening,chain,ongata rongai,mid,saturday,weekend,no,26,8,2017
tumaini,1,1,40,40,0,cash,no,no,yes,no,no,no,no,26/08/2017,no,16:50,evening,chain,ongata rongai,mid,saturday,weekend,no,26,8,2017
tumaini,4,1,468,468,0,mpesa,yes,no,no,no,no,no,no,26/08/2017,no,17:40,evening,chain,ongata rongai,mid,saturday,weekend,no,26,8,2017
tumaini,1,1,120,1000,880,cash,yes,no,no,no,no,no,no,26/08/2017,no,17:40,evening,chain,ongata rongai,mid,saturday,weekend,no,26,8,2017
tumaini,2,2,217,500,283,cash,yes,no,yes,no,no,no,no,26/08/2017,no,17:46,evening,chain,ongata rongai,mid,saturday,weekend,no,26,8,2017
tumaini,1,1,94,100,6,cash,yes,no,no,no,no,no,no,26/08/2017,no,16:14,evening,chain,ongata rongai,mid,saturday,weekend,no,26,8,2017
tumaini,1,1,90,200,110,cash,no,no,yes,no,no,no,no,26/08/2017,no,16:44,evening,chain,ongata rongai,mid,saturday,weekend,no,26,8,2017
tumaini,11,3,2079,2079,0,mpesa,yes,no,no,yes,no,yes,no,26/08/2017,no,17:40,evening,chain,ongata rongai,mid,saturday,weekend,no,26,8,2017
tumaini,1,1,1200,1200,0,mpesa,yes,no,no,no,no,no,no,26/08/2017,no,16:47,evening,chain,ongata rongai,mid,saturday,weekend,no,26,8,2017
tumaini,3,2,321,1000,679,cash,yes,no,yes,no,no,no,no,26/08/2017,no,16:42,evening,chain,ongata rongai,mid,saturday,weekend,no,26,8,2017
